id,city,state_id,street,street2,zip
__export__.res_partner_106791,SAN JUAN BAUTISTA TUXTEPEC,Oaxaca,AVENIDA LIBERTAD 1933 ENTRE ZARAGOZA Y RIVAPALACIOS,PIRAGUA,68310
__export__.res_partner_106878,PUEBLA,Puebla,TEZIUTLAN SUR 10,LA PAZ,72160
__export__.res_partner_90098,YAUTEPEC,Morelos,PASEO TLAHUICA 74,RANCHO NUEVO,62730
__export__.res_partner_90099,LIBRES,Puebla,MANUEL AVILA CAMACHO 1354,BARRIO DE GUADALUPE,73780
__export__.res_partner_90100,ISLA,Veracruz,GUADALUPE VICTORIA S/N,CENTRO,95640
__export__.res_partner_90101,AGUASCALIENTES,Aguascalientes,BOULEVARD NORTE 202,BUENOS AIRES,20020
__export__.res_partner_90102,LA BARCA,Jalisco,AVENIDA REVOLUCION 6,CENTRO,47910
__export__.res_partner_104587,LA BARCA,Jalisco,CALLE REVOLUCION 12,CENTRO,47910
__export__.res_partner_115999,LA BARCA,Jalisco,REVOLUCON NO 12,CENTRO,47910
__export__.res_partner_90103,GUADALUPE VICTORIA,Durango,AVENIDA H. DE CHAPULTEPEC SUR 504,CENTRO,34700
__export__.res_partner_115679,SINALOA,Sinaloa,CARRETERA LA CRUZ POTRERILLO KM 2 S/N,LA CRUZ,82704
__export__.res_partner_90104,MANUEL DOBLADO,Guanajuato,CARRETERA FEDERAL MANUEL DOBLADO A LEON KM 2.5,SAN JOSE DEL PASO,36470
__export__.res_partner_90106,CHIHUAHUA,Chihuahua,TECNOLOGICO 12102,DEPORTISTAS,31125
__export__.res_partner_104575,DELICIAS,Chihuahua,CALZADA DEL CHARRO 909,CARMEN SERDAN,33010
__export__.res_partner_90107,AHUMADA,Chihuahua,AVENIDA VICENTE GUERRERO 37,CENTRO,32800
__export__.res_partner_90108,AGUASCALIENTES,Aguascalientes,AVENIDA CONVENCION DE 1914 NORTE 2305,FRACCIONAMIENTO  INDUSTRIAL,20030
__export__.res_partner_90109,TEMASCALCINGO DE JOSE MARIA VELASCO,México,AVENIDA GUSTAVO DIAZ ORDAZ 44,POZO DE LAS PALOMAS,50445
__export__.res_partner_112180,"VALLE DE SANTIAGO,",Guanajuato,CARRETERA LIBRE ESTATAL VALLE DE SANTIAGO HUARAPO KM. 1.15,20 DE NOVIEMBRE,38400
__export__.res_partner_90110,PEDRO ESCOBEDO,Querétaro,CHIHUAHUA 10,EL CHAMIZAL,76700
__export__.res_partner_106716,PIEDRAS NEGRAS,Coahuila,OMBU 1000,ACOROS,26083
__export__.res_partner_90111,AMECA,Jalisco,AVENIDA PATRIA ORIENTE 2 D MEXICO,MEXICO,46600
__export__.res_partner_103071,LOS TIGRES,Veracruz,FRANCISCO I MADERO S/N,ENTRE CALLE FERNANDO GUTIERREZ BARRIOS Y CALLE PIPILA,95680
__export__.res_partner_110934,ISLA,Veracruz,AVENIDA 5 DE MAYO N° 49,CENTRO,95640
__export__.res_partner_106812,QUERETARO,Querétaro,"CARRETERA SAN LUIS POTOSI 22101 L2,",SANTA ROSA JAUREGUI,76220
__export__.res_partner_113448,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,Guanajuato,CARRETERA A JAMAICA KM 9.5 RANCHO LA PALMA,CENTRO DOLORES HIDALGO,37800
__export__.res_partner_106514,NUEVO IDEAL,Durango,CARRETERA FRANCISCO ZARCO KM 69 NUEVO IDEAL,CORREDOR INDUSTRIAL COMERCIAL Y DE SERVICIOS,34420
__export__.res_partner_109286,DURANGO,Durango,CARRETERA GOMEZ PALACIO KM 10 5 DE MAYO,5 DE MAYO,34304
__export__.res_partner_106673,NUEVA ITALIA,Michoacán,LAZARO CARDENAS SUR S/N A UN COSTADO DE LA COMISION FEDERAL DE ELECTRICIDAD,CENTRO,61760
__export__.res_partner_106928,IZUCAR DE MATAMOROS,Puebla,INDEPENDENCIA 58,CENTRO,74400
__export__.res_partner_107951,CIUDAD DE MEXICO,Ciudad de México,FLOR DE LIRIO MANZANA 53 LOTE 11 LOMAS DE SAN LORENZO,LOMAS DE SAN LORENZO,09780
__export__.res_partner_108019,ACATZINGO,Puebla,CARRETERA FEDERAL ACATZINGO-XALAPA KM 17+600,"FELIPE ANGELES, SAN ANTONIO PORTEZUELO",75176
__export__.res_partner_90112,TEQUISQUIAPAN,Querétaro,CARRETERA A EZEQUIEL MONTES 3D,ADOLFO LOPEZ MATEOS,76750
__export__.res_partner_108913,IXTAPAN DE LA SAL,México,ALLENDE 35 SANTA CATARINA,SANTA CATARINA,51900
__export__.res_partner_110594,TONALA,Chiapas,FERROCARRETERA ILERA MANZANA 6 CASA 6,TONALA,30500
__export__.res_partner_136666,CINTALAPA DE FIGUEROA,Chiapas,BOULEVARD RODULFO FIGUEROA 500A,SEGURO SOCIAL,30400
__export__.res_partner_111079,CD GUZMAN,Jalisco,AVENIDA ING. GOB. ALBERTO CARDENAS JIMENEZ 190 A,CONSTITUYENTES,49088
__export__.res_partner_111256,EL MARQUES,Querétaro,AVENIDA DE LAS FUENTES 60 Y 62,PARQUE INDUSTRIAL BERNARDO QUINTANA,76240
__export__.res_partner_135868,VILLA VICTORIA,México,AVENIDA LAZARO CARDENAS S/N,ZONA CENTRO,50960
__export__.res_partner_111905,HUEJOTZINGO,Puebla,CARRETERA FEDERAL MEXICO PUEBLA KM 91.5,HUEJOTZINGO,74160
__export__.res_partner_115680,PUEBLA,Puebla,CARRETERA FEDERAL MEXICO PUEBLA KM 91.5,SAN MARTIN TEXMELUCAN DE LABASTIDA,74090
__export__.res_partner_117578,SAN LUIS POTOSI,San Luis Potosí,CALLE AZTECA SUR NO 303,MONTECILLO,78310
__export__.res_partner_119175,MERIDA,Yucatán,CALLE 71 NO 370,EL ROBLE AGRICOLA,97295
__export__.res_partner_90113,DURANGO,Durango,BOULEVARDDE LA JUVENTUD IRIDIO 409,LUIS ECHEVERRIA,34720
__export__.res_partner_108435,DURANGO,Durango,BOULEVARD DE LA JUVENTUD 409,LUIS ECHEVERRIA ALVAREZ,34250
__export__.res_partner_90114,GUADALAJARA,Jalisco,AVENIDA CANAS 3250 INT 8,LA NOGALERA,44470
__export__.res_partner_90115,ACUITCIO DEL CANJE,Michoacán,ALDAMA 51,CENTRO,58460
__export__.res_partner_105899,JUAN C. BONILLA,Puebla,CARRETERA FED. MEXICO PUEBLA KM 96.5,SAN MATEO CUANALA,72640
__export__.res_partner_115890,TOLUCA DE LERDO,México,ISIDRO FABELA 125,EL CERRILLO VISTA HERMOSA,50200
__export__.res_partner_116016,SANTIAGO TIANGUISTENCO,México,AVENIDA DEL CONVENTO 111,PARQUE INDUSTRIAL,52600
__export__.res_partner_103216,CD VICTORIA,Tamaulipas,ENTREGAR EN CALLE CERRO DE LAS CAMPANAS 229 NTE,BENITO JUAREZ,87090
__export__.res_partner_95341,PUERTO ESCONDIDO,Oaxaca,DOMICILIO CONOCIDO CARRETERA ST. MARIA COLOTEPEC KM 2,ESMERALDA,71983
__export__.res_partner_95342,SANTIAGO DE QUERETARO,Querétaro,CARRETERA MEXICO-QUERETARO KM 196.7,EL MARQUES,76138
__export__.res_partner_95343,CORONANGO,Puebla,CAMINO A SAN FRANCISCO OCOTLAN 850-1,PARQUE INDUSTRIAL OCOTLAN,72680
__export__.res_partner_95344,VERACRUZ,Veracruz,CARRETERA VERACRUZ-XALAPA KM 12 MZ 5 LT 24,VALENTE DIAZ,91725
__export__.res_partner_95345,CIUDAD DE MEXICO,Ciudad de México,CARRETERA MEX-QUERETARO KM. 42.5,BARRIO DE TEXCACOA,54605
__export__.res_partner_89309,AGUASCALIENTES,Aguascalientes,CARRETERA PANAMERICANA SUR KM 105,ZONA CENTRO,20392
__export__.res_partner_83943,COATZACOALCOS,Veracruz,MATAMOROS 57,LAZARO CARDENAS,96400
__export__.res_partner_83947,VERACRUZ,Veracruz,ARRAYANES LOTE 20 ESQ. ENCINO,CD. INDUSTRIAL BRUNO PAGLIAI,91697
